id,title,author,genre,tags,img,description,published_year,average_rating,num_pages,price
41,Catching Fire,Suzanne Collins,young-adult adventure dystopian science-fiction thriller fiction drama,survival political-intrigue rebellion war betrayal strategy romance,https://upload.wikimedia.org/wikipedia/en/a/a2/Catching_Fire_(Suzanne_Collins_novel_-_cover_art).jpg,"Book 2
After surviving the horrors of the Hunger Games, Katniss Everdeen and Peeta Mellark return to District 12 as reluctant victors. However, their defiance of the Capitol’s rules during the Games has sparked a movement of rebellion throughout the districts. As symbols of hope and resistance, Katniss and Peeta find themselves caught in a dangerous political struggle they never intended to start.
To crush the growing rebellion, President Coriolanus Snow announces an unprecedented twist for the 75th Hunger Games—known as the Quarter Quell—forcing previous victors back into the arena. Now, Katniss and Peeta must once again fight for their survival, facing not just the Capitol's cruel machinations, but also former champions who are deadlier and more cunning than ever.
With District 13’s rumored existence, hidden secrets of the rebellion, and shocking betrayals at every turn, Katniss realizes that survival is no longer enough. She must make a choice: play the Capitol's game or ignite a revolution that could change Panem forever.",2009,4.29,391,11.70
42,Mockingjay,Suzanne Collins,young-adult adventure dystopian science-fiction thriller fiction drama,war revolution psychological-struggle loss political-power survival sacrifice,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Mockingjay.JPG/220px-Mockingjay.JPG,"Book 3
The rebellion has begun, and Katniss Everdeen has been rescued by the elusive District 13, a secret underground stronghold that has long been preparing for war against the Capitol. However, the cost of her survival is high—Peeta Mellark has been captured and is being used as a pawn by President Snow to break Katniss’s spirit.
Now hailed as the Mockingjay, the face of the rebellion, Katniss must grapple with the weight of leading a revolution while dealing with personal grief, guilt, and the psychological scars left by the Hunger Games. As the war intensifies, she struggles to trust those around her, including President Coin, the leader of District 13, whose true intentions remain unclear.
The battle for Panem is not just about toppling a government—it’s about determining what kind of future will rise from the ashes. As Katniss fights her way through the Capitol’s final deadly traps, she must decide how much of herself she is willing to sacrifice and who she can truly trust in a world where power corrupts all.",2010,4.03,390,11.70
43,The Ballad of Songbirds and Snakes (Prequel),Suzanne Collins,young-adult adventure dystopian science-fiction thriller fiction drama,origin-story politics ambition manipulation survival romance war power,https://upload.wikimedia.org/wikipedia/en/f/f1/The_Ballad_of_Songbirds_and_Snakes_(Suzanne_Collins).png,"Set 64 years before the events of The Hunger Games, this novel explores the early life of Coriolanus Snow, long before he became the tyrannical president of Panem. Once a wealthy aristocrat, Snow’s family has fallen from grace following the war that destroyed District 13 and reshaped Panem’s social structure. Desperate to restore his family’s name and secure his future, he is chosen as a mentor for the 10th Hunger Games, an experimental version of the Games still in its infancy.
His tribute is Lucy Gray Baird, a girl from District 12 whose talent for singing captures the attention of the nation. As the Games unfold, Coriolanus finds himself drawn to Lucy Gray, leading to a dangerous entanglement of power, love, and morality. But as he navigates the brutal world of politics, manipulation, and violence, he begins to understand that survival in Panem requires something more sinister than mere strategy—it requires ruthlessness.
This gripping prequel sheds light on the origins of the Hunger Games, the brutal policies that define Panem, and the twisted path that led Snow to become the monster he would one day be.",2020,3.77,517,11.70
44,The Book Thief,Markus Zusak,young-adult historical fiction drama literature,World-War-II Nazi-Germany death books survival coming-of-age friendship loss tragedy family resistance,https://upload.wikimedia.org/wikipedia/en/8/8f/The_Book_Thief_by_Markus_Zusak_book_cover.jpg,"Set in Nazi Germany during World War II, The Book Thief follows the story of Liesel Meminger, a young girl sent to live with foster parents in the town of Molching, near Munich. Struggling with loss and fear, Liesel finds solace in books—stealing them whenever she can, even before she knows how to read. With the help of her foster father, Hans Hubermann, she learns the power of words and stories, using them to make sense of the cruel world around her.
As war looms, Liesel's world grows more complicated when her family secretly shelters a Jewish man, Max Vandenburg, in their basement. Amid air raids, Nazi propaganda, and the constant threat of discovery, Liesel forms deep friendships, particularly with her mischievous best friend Rudy Steiner, and learns that acts of kindness and resistance, however small, can have great meaning.
Narrated by Death, the novel weaves a haunting yet poetic tale about the power of words, the resilience of the human spirit, and the tragedy of war. The Book Thief is a heart-wrenching and unforgettable story about love, loss, and the importance of stories in shaping history.",2005,4.38,552,11.70
45,Divergent,Veronica Roth,young-adult dystopian science-fiction adventure thriller fiction,faction-system survival rebellion romance identity-choice war government-control,https://upload.wikimedia.org/wikipedia/en/f/f4/Divergent_(book)_by_Veronica_Roth_US_Hardcover_2011.jpg,"Book 1 of the Divergent series
In a dystopian Chicago, society is divided into five factions, each dedicated to cultivating a specific virtue: Abnegation (selflessness), Dauntless (bravery), Erudite (intelligence), Amity (peace), and Candor (honesty). At the age of sixteen, all citizens must undergo a Choosing Ceremony to decide whether they will stay in their birth faction or transfer to another—determining their entire future.
When Beatrice ""Tris"" Prior takes her aptitude test, she discovers she is Divergent, meaning she doesn’t fit neatly into any single faction. Told to keep this secret for her own safety, Tris chooses Dauntless, where she faces brutal physical and psychological initiation tests. As she struggles to prove herself, she uncovers dark secrets about the faction system and a sinister plot that threatens the balance of society.
With the help of Four, a mysterious and skilled Dauntless instructor, Tris must decide where her loyalties lie and what she is willing to risk to uncover the truth. But being Divergent means she is a target—and she must fight to survive.",2011,4.15,487,11.70
46,Insurgent,Veronica Roth,young-adult dystopian science-fiction adventure thriller fiction,rebellion war survival betrayal government-control secret-experiments romance psychological-struggle,https://upload.wikimedia.org/wikipedia/en/9/9c/Insurgent_(book).jpeg,"Book 2 of the Divergent Series
After surviving the brutal initiation of Dauntless and uncovering the Erudite faction’s attack on Abnegation, Tris Prior is now on the run. The fragile society of factions is crumbling, and war between the factions and the factionless is imminent. Jeanine Matthews, the ruthless leader of Erudite, is hunting down all Divergents, seeing them as a threat to her rule.
As Tris and her allies seek refuge in Amity and other safe havens, they begin unraveling the secrets behind the faction system and the true purpose of Divergents. Alongside Four, Tris struggles with grief, guilt, and trust, as betrayals and shifting alliances make survival even more dangerous.
When the fight for freedom reaches its breaking point, Tris must decide what sacrifices she is willing to make—and whether the truth is worth more than the lives of those she loves.",2012,4.00,525,11.70
47,Allegiant,Veronica Roth,young-adult dystopian science-fiction adventure thriller fiction drama,genetic-experiments government-control rebellion war sacrifice betrayal identity-choice love,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Allegiant_novel_cover.jpg/220px-Allegiant_novel_cover.jpg,"Book 3 of the Divergent Series
With the faction system in ruins, Tris Prior and her companions must venture beyond the fence that has always confined them, stepping into a world they were never supposed to see. But what they discover is far more shocking than they ever imagined.
Outside the city, they encounter the Bureau of Genetic Welfare, a powerful organization that has been controlling their society from the shadows. Tris learns that their world was an experiment, designed to correct genetic damage caused by past human mistakes. The Bureau’s influence raises new questions about free will, identity, and whether people should be judged by their genetics.
As tensions rise between those inside and outside the city, Tris and Four find themselves on opposite sides of a growing conflict. With time running out and devastating truths coming to light, Tris must make the ultimate sacrifice to protect those she loves.",2013,3.63,526,11.70
48,Four: A Divergent Collection (Prequel & Companion Stories),Veronica Roth,young-adult dystopian science-fiction adventure thriller fiction,prequel backstory identity-choice faction-system survival family-struggles government-control,https://upload.wikimedia.org/wikipedia/en/6/68/Four_A_Divergent_Collection_cover.jpg,"Four: A Divergent Collection (Prequel & Companion Stories)
Told from the perspective of Tobias ""Four"" Eaton, this collection of four short stories explores his life before and during the events of Divergent.
From his painful past in Abnegation, where he suffered under the control of his abusive father, to his difficult choice to leave for Dauntless, these stories give insight into how he became the strong and mysterious leader known as Four. Readers also see his early interactions with Tris, his struggles with his Divergent nature, and his complicated relationships with both the faction system and the people within it.
This collection provides a deeper look at Four’s motivations, fears, and the choices that shaped him into the person he becomes throughout the Divergent series.",2014,4.06,285,11.70
49,The Fault in Our Stars,John Green,young-adult fiction romance,teen-romance cancer love-loss illness heartbreak,https://upload.wikimedia.org/wikipedia/en/a/a9/The_Fault_in_Our_Stars.jpg,"Hazel Grace Lancaster, a sixteen-year-old girl battling cancer, meets Augustus Waters, a charming and witty cancer survivor, at a support group. The two bond over their shared love of literature, particularly a novel by a reclusive author. As their relationship deepens, Hazel and Augustus navigate the painful realities of illness, mortality, and love. Through their journey, John Green explores themes of life, death, and the meaning of existence, in a poignant and unforgettable way.",2012,4.20,313,11.70
50,Paper Towns,John Green,young-adult fiction mystery,coming-of-age love-search adventure,https://static.wikia.nocookie.net/johngreen/images/5/55/E2ECEF74-E368-4EA6-A3DB-56640CAE74AA.jpeg/,"Quentin Q Jacobsen spends most of his life in the shadow of his adventurous neighbor, Margo Roth Spiegelman, who suddenly disappears after a night of mischief. Left behind with a series of cryptic clues, Q embarks on a quest to find Margo, uncovering deeper truths about his own life and the people he thought he knew. Through this adventure, Green delves into the complexities of identity, friendship, and the search for meaning in life.",2008,3.86,305,11.70
51,Looking for Alaska,John Green,young-adult fiction drama,coming-of-age friendship love-loss self-discovery,https://upload.wikimedia.org/wikipedia/en/3/3e/Looking_for_Alaska_original_cover.jpg,"Miles Pudge Halter leaves his dull life in Florida for a boarding school in Alabama, seeking a 'Great Perhaps.' There, he meets Alaska Young, a beautiful, enigmatic girl who leads him into a world of friendship, pranks, and self-exploration. The novel delves into the complexities of life, love, and loss, particularly the impact of Alaska's untimely death on Pudge and his friends. Green explores themes of grief, memory, and the search for meaning in the wake of tragedy.",2005,4.09,221,11.70
52,An Abundance of Katherines,John Green,young-adult fiction romance,teen-romance self-discovery relationships math,https://upload.wikimedia.org/wikipedia/en/b/b3/An_Abundance_of_Katherines-cover.jpg,"Colin Singleton is a child prodigy who has been dumped by 19 girls named Katherine. Desperate for a fresh start, Colin and his best friend Hassan embark on a road trip to a small town where they open a local business. As Colin tries to develop a mathematical formula to predict the outcome of relationships, he learns valuable lessons about friendship, love, and finding one’s place in the world. Green humorously explores themes of identity, heartbreak, and the process of self-discovery.",2006,3.89,213,11.70
53,Let It Snow: Three Holiday Romances,"John Green, Lauren Myracle, and Maureen Johnson",young-adult fiction romance,holiday-romance love friendship,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSm7ssSkEjtrACCmtTbW6oPwOIu0tf7_6qVFQ&s,"A collection of three interconnected stories set in a small town during a Christmas blizzard. In John Green's story, **Jubilee** finds herself stranded in a snowed-in diner where she meets a charming stranger. **Lauren Myracle’s** tale follows a girl’s attempt to organize a holiday party despite the chaos. **Maureen Johnson’s** story focuses on a group of friends navigating their relationships in the middle of the storm. Each story explores themes of love, friendship, and festive romance, making for a heartwarming holiday read.",2008,3.80,352,11.70
54,Turtles All the Way Down,John Green,young-adult fiction drama,mental-illness self-discovery romance friendship,https://upload.wikimedia.org/wikipedia/en/1/17/John_Green_Turtles_All_The_Way_Down_Book_Cover.jpg,"**Aza Holmes** is a 16-year-old girl struggling with obsessive-compulsive disorder (OCD) when she reconnects with her childhood friend **Davis Pickett**, whose father is a missing billionaire. As Aza embarks on a quest to uncover the truth about his disappearance, she also grapples with the challenges of her mental illness and the complexities of love and friendship. Green’s novel is a poignant exploration of mental health, identity, and the power of human connection in the face of anxiety.",2017,3.94,286,11.70
55,The Lightning Thief,Rick Riordan,young-adult fiction fantasy,greek-mythology adventure hero-family,N/A,"**Percy Jackson** is a twelve-year-old boy who discovers he is a demigod, the son of **Poseidon**. After learning that his father is a Greek god, Percy embarks on an adventure to prevent a war between the gods. With the help of friends **Annabeth Chase** and **Grover**, Percy faces numerous mythical creatures and challenges. Riordan’s novel is an exciting blend of Greek mythology, modern-day adventure, and the quest for self-identity.",2005,4.24,377,11.70
56,13 Treasures(Book 1),Michelle Harrison,young-adult fiction fantasy,mystery magic faeries adventure,N/A,"13 Treasures Trilogy, Book 1
**Tanya** is a teenage girl who can see magical creatures, but no one believes her. When she is sent to live with her grandmother in a mysterious house, she becomes entangled in a world of faeries, secrets, and family history. As Tanya uncovers the truth about her family’s connections to the magical world, she must navigate the dangers of faerie politics and the dark forces at play. The novel is a magical blend of mystery, fantasy, and adventure.",2009,3.89,368,11.70
57,13 Curses(Book 2),Michelle Harrison,young-adult fiction fantasy,faeries magic curses adventure,N/A,"13 Treasures Trilogy, Book 2
In this sequel to *13 Treasures*, **Tanya** continues to navigate the world of faeries. She is tasked with breaking a curse that haunts her family and threatens the balance between the human and faerie worlds. With the help of her friends, Tanya confronts the powerful faerie rulers and uncovers dark secrets about her own bloodline. Harrison’s story is an enchanting blend of magic, danger, and suspense.",2010,3.95,432,11.70
58,The Thirteen Secrets(Book 3),Michelle Harrison,young-adult fiction fantasy,magic faeries adventure,N/A,"13 Treasures Trilogy, Book 3
In *The Thirteen Secrets*, **Tanya** delves deeper into the faerie realm as she uncovers more mysteries about her family’s connection to the magical world. The story follows Tanya’s quest to discover the truth behind the faeries’ power, facing dangerous creatures, betrayal, and the search for lost secrets. The novel is filled with twists and turns, blending fantasy, magic, and mystery in an enchanting adventure.",2011,3.94,464,11.70
59,Saint Anything,Sarah Dessen,young-adult fiction romance,teen-angst family-relationships self-discovery,N/A,"**Sydney** is a high school student struggling with her family's complicated relationships after her brother’s imprisonment for a hit-and-run accident. Seeking to escape her troubled home life, Sydney befriends **Layla**, a popular girl with a supportive family, and **Mac**, a kind and mysterious boy. As Sydney learns to accept her family and herself, she embarks on a journey of personal growth and self-discovery. Dessen explores themes of love, loss, and healing in a heartfelt narrative.",2015,4.02,419,11.70
60,The Truth About Forever,Sarah Dessen,young-adult fiction romance,teen-romance self-discovery family-relationships,N/A,"**Macy** is a girl coping with the recent death of her father, and she feels the weight of expectations from her mother and boyfriend. When she starts working at a summer job with a group of quirky people, including the charming **Wes**, Macy begins to realize that her life doesn’t have to be as perfect as she thought it should be. The novel explores themes of love, loss, healing, and the importance of finding one’s true self amidst life’s challenges.",2004,4.06,374,11.70
61,A Thousand Pieces of You,Claudia Gray,young-adult fiction science-fiction romance,time-travel adventure parallel-universe,N/A,"Firebird series, Book 1
**Marguerite Caine** is a young woman whose scientist parents created the *Firebird*, a device that allows people to travel between alternate realities. When her father is murdered, Marguerite embarks on a journey through parallel universes to seek revenge. As she travels, she forms deep connections with various versions of people she knows, including **Paul**, a fellow scientist. The story explores themes of love, loss, and identity in a fast-paced, sci-fi adventure.",2014,4.11,368,11.70
62,"Ten Thousand Skies Above You,",Claudia Gray,young-adult fiction science-fiction romance,time-travel parallel-universe adventure,N/A,"Firebird series, Book 2
In *Ten Thousand Skies Above You*, the second book in the *Firebird* series, **Marguerite Caine** continues her quest for justice and revenge after the shocking events of the first book. As she travels across multiple realities, she faces even more dangerous enemies and deeper moral dilemmas. Along with her companions, **Paul** and **Theo**, she navigates the consequences of her actions and uncovers more about the Firebird technology and its origins. The novel explores the complexities of love and sacrifice across dimensions.",2015,4.19,464,11.70
63,A Million Worlds with You,Claudia Gray,young-adult fiction science-fiction romance,time-travel parallel-universe adventure,N/A,"Firebird series, Book 3
In *A Million Worlds with You*, the final book in the *Firebird* trilogy, **Marguerite Caine** must come to terms with the consequences of her journey through multiple universes. As the story reaches its climax, Marguerite faces the ultimate choice between saving the world or saving her love, **Paul**, who is in grave danger. The series concludes with a thrilling, emotional finale that touches on themes of love, destiny, and the possibility of a different life in alternate realities.",2016,4.18,464,11.70
64,Make it Stick,"Henry L. Roediger III, Mark A. McDaniel, Peter C. Brown",non-fiction education,learning-memory psychology,N/A,"Make it Stick presents groundbreaking insights into how people learn more effectively. Drawing on research from cognitive psychology, the authors explain how students, teachers, and professionals can apply strategies for deeper understanding and retention. The book emphasizes the importance of active learning, challenging assumptions, and changing the way we think about studying.",2014,4.16,336,11.70
65,Creating Innovators: The Making of Young People Who Will Change the World,Tony Wagner,non-fiction education,innovation creativity youth-development,N/A,"In Creating Innovators, Tony Wagner explores how young people can develop the skills to innovate and become leaders in a rapidly changing world. By examining educational practices and real-life examples, Wagner presents a roadmap for fostering creativity, critical thinking, and resilience in the next generation.",2012,4.07,288,11.70
66,How Children Learn,John Holt,non-fiction education,child-development psychology,N/A,"How Children Learn explores the ways children naturally learn through observation, curiosity, and experimentation. John Holt argues that traditional schooling often stifles this intrinsic love of learning, and advocates for a more flexible, student-centered approach that nurtures natural curiosity.",1967,4.14,320,11.70
67,The Book Whisperer,Donalyn Miller,non-fiction education,reading teaching,N/A,"In The Book Whisperer, Donalyn Miller shares her philosophy on fostering a love for reading in children. By offering practical advice and insights from her own teaching experience, she shows how teachers and parents can cultivate a lifelong passion for books, helping children become enthusiastic and engaged readers.",2009,4.19,290,11.70
68,The Little Book of Ikigai: The Secret Japanese Way to Live a Happy and Long Life,Ken Mogi,non-fiction philosophy,self-help,N/A,"The Little Book of Ikigai explores the Japanese concept of ikigai, which means 'a reason for being.' Ken Mogi delves into how embracing this philosophy can lead to a happier and more fulfilling life, focusing on simplicity, purpose, and balance. The book presents practical steps to help readers discover their own ikigai and find meaning in everyday life.",2017,4.14,160,11.70
69,The Art of War,Sun Tzu,non-fiction philosophy,strategy war,N/A,"The Art of War is a classic treatise on military strategy and tactics by the ancient Chinese military strategist Sun Tzu. The book is a timeless guide to effective leadership, conflict resolution, and decision-making, offering lessons that can be applied in both warfare and personal challenges. Its wisdom has influenced leaders and strategists for centuries.",-500,4.27,273,11.70
70,"Thinking, Fast and Slow",Daniel Kahneman,non-fiction psychology,decision-making cognitive-bias,N/A,"In Thinking, Fast and Slow, Nobel laureate Daniel Kahneman explores the two systems of thought that drive human decision-making: the fast, intuitive system and the slow, deliberate system. The book delves into cognitive biases, errors in judgment, and how people can improve their thinking processes, providing valuable insights into human behavior and decision-making.",2011,4.12,499,11.70
71,The 48 Laws of Power,Robert Greene,non-fiction self-help,psychology manipulation leadership,N/A,"The 48 Laws of Power is a guide to gaining and maintaining power in personal, professional, and social situations. Robert Greene outlines timeless strategies for overcoming obstacles, manipulating perceptions, and controlling situations to achieve success. The book is often seen as a controversial yet invaluable resource for those seeking to rise to power.",1998,4.16,452,11.70
72,The 33 Strategies of War,Robert Greene,non-fiction self-help,strategy war leadership,N/A,"The 33 Strategies of War is a guide to achieving success by employing military strategies and tactics in everyday life. Drawing on historical examples and lessons from famous military leaders, Robert Greene explains how these principles can be applied to personal, social, and business conflicts. The book serves as both a manual for conflict resolution and a blueprint for victory.",2006,4.15,496,11.70
73,Gone with the Wind,Margaret Mitchell,fiction historical,romance drama war,N/A,"Gone with the Wind is a sweeping historical novel set during the American Civil War and Reconstruction. It follows Scarlett O'Hara, a strong-willed Southern belle, as she navigates love, loss, and survival amidst the turmoil of war. The book examines themes of racism, class, and the changing social landscape of the South.",1936,4.29,1037,11.70
74,Little Women,Louisa May Alcott,fiction young-adult,classic family,N/A,"Little Women follows the lives of the four March sisters—Meg, Jo, Beth, and Amy—growing up in Massachusetts during the Civil War. The novel explores themes of family, self-discovery, and women’s roles in society, offering an enduring portrait of the joys and struggles of adolescence and adulthood. Each sister’s individual journey reflects universal experiences of love, loss, and ambition.",1868,4.17,449,11.70
75,Emma,Jane Austen,fiction romance,classic love,N/A,"In Emma, Emma Woodhouse is a clever and somewhat spoiled young woman who takes on the role of matchmaker in her small English town. As she attempts to guide the romantic lives of others, she inadvertently causes a series of misunderstandings and misadventures. The novel is a witty exploration of love, social status, and the complexities of human nature.",1815,4.08,474,11.70
76,Lady Chatterley's Lover,D. H. Lawrence,fiction romance,classic love forbidden,N/A,"Lady Chatter’s Lover tells the story of Constance Reid, a young woman who falls in love with the gamekeeper, Oliver Mellors, while her husband, Sir Clifford Chatterley, is paralyzed and emotionally distant. The novel explores themes of class, sexuality, and the power of love to transcend societal constraints. Its explicit content and controversial themes made it one of the most debated novels of its time.",1928,3.89,567,11.70
77,Persuasion,Jane Austen,fiction romance,classic love,N/A,"In Persuasion, Anne Elliot is a woman in her late twenties who is persuaded to break off her engagement to Frederick Wentworth, a man she loves, due to his lack of wealth and status. Eight years later, Anne and Frederick are reunited, and she must navigate her feelings and societal expectations to find happiness. The novel is a delicate exploration of second chances and the power of love.",1818,4.15,315,11.70
78,A Room with a View,E. M. Forster,fiction romance,classic love,N/A,"In A Room with a View, Lucy Honeychurch, a young woman from England, finds herself torn between her duty to her family and her blossoming love for George Emerson, a free-spirited man who challenges her view of society and relationships. The novel explores themes of class, social expectations, and personal freedom in the context of a romance that defies convention.",1908,4.06,368,11.70
79,Romeo and Juliet,William Shakespeare,fiction romance,classic tragedy love,N/A,"Romeo and Juliet is a timeless tragedy that tells the story of two young lovers whose families are embroiled in a bitter feud. The couple’s forbidden love leads to a series of tragic events, culminating in their untimely deaths. Shakespeare’s play explores themes of love, fate, and the destructive power of hatred.",1597,4.09,120,11.70
80,A Midsummer Night's Dream,William Shakespeare,fiction comedy romance,classic fantasy,N/A,"In A Midsummer Night’s Dream, the lives of four young lovers and a group of amateur actors become entangled in the magical realm of Oberon and Titania, the fairy king and queen. The play is filled with mistaken identities, humorous antics, and themes of love, magic, and transformation, making it one of Shakespeare’s most popular comedies.",1595,4.11,154,11.70
81,The Notebook,Nicholas Sparks,romance drama,romantic-relationship love-loss,N/A,"The Notebook tells the story of Noah Calhoun and Allie Nelson, two people who fall in love in their youth but are separated by circumstances. Years later, they are reunited and rekindle their love. The novel is a poignant exploration of memory, devotion, and the lasting power of first love.",1996,4.05,214,11.70
82,"Whitney, My Love",Judith McNaught,romance historical,romantic-tragedy love,N/A,"In Whitney, My Love, Whitney Stone is a beautiful and strong-willed woman who finds herself in a tumultuous relationship with Clayton Westmoreland, a man who is determined to make her his own. The novel explores themes of love, passion, and the challenges of finding true happiness in a world filled with obstacles.",1985,4.21,504,11.70
83,A Kingdom of Dreams,Judith McNaught,romance historical,romantic-tragedy love,N/A,"A Kingdom of Dreams is a passionate historical romance between Nicole de la Kress and Jordan Townsende set against the backdrop of war and societal expectations. Their journey is filled with trials, including betrayal, personal conflict, and the struggle for true love. The book explores the theme of finding love amidst turmoil and embracing one’s true destiny.",1990,4.24,464,11.70
84,Until You,Judith McNaught,romance historical,romantic-tragedy love,N/A,"Until You follows the story of David Hamilton, a tortured and brooding man with a past, who finds redemption and love in the arms of Alexandra Lawrence. The novel delves into themes of healing, forgiveness, and the transformative power of love, with an intense, emotional storyline set in the historical context of 19th-century England.",1994,4.22,448,11.70
85,Miracles,Judith McNaught,romance historical,romantic-tragedy love,N/A,"Miracles tells the story of Meredith Bancroft, a woman whose life is upended by the return of Jake Tyndall, a man from her past. Their story is one of redemption, deep love, and second chances as they confront past wounds and misunderstandings. McNaught explores themes of forgiveness, healing, and the miracles that can occur when people open their hearts.",1997,4.22,400,11.70
86,Edith Wharton's The Age of Innocence,Harold Bloom,literature romance historical,high-society love 1870s New-York aristocracy relationships social-norms,http://books.google.com/books/content?id=MNuFkQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of Edith Wharton's most critically acclaimed books, this Pulitzer Prize-winning novel tells the story of love in the high society of 1870s New York.",2005,3.71,205,11.70
87,Freedom Riders,Ann Bausum,non-fiction historical biography,Civil-Rights equality Freedom-Riders segregation activism history,http://books.google.com/books/content?id=JIlhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Offers the true account of two young men who took the risk to venture into the segregated South at the peak of the Civil Rights era to take part as Freedom Riders and fight for equality for all--making their mark and doing their part to change history forever along the way.,2006,3.97,80,11.70
88,Quiet Days in Clichy,Henry Miller,literature fiction,Paris writers prostitution bohemian-life relationships,http://books.google.com/books/content?id=pzSgm88YFCYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Describes the experiences of two American writers living in Paris and their encounters with French prostitutes,1987,3.69,154,11.70
89,The Malady of Death,Marguerite Duras,literature fiction romance,love erotic existential relationships human-connection,http://books.google.com/books/content?id=ZDHywAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A man hires a woman to spend several weeks with him by the sea. The woman is no one in particular, a ""she,"" a warm, moist body with a beating heart-the enigma of Other. Skilled in the mechanics of sex, he desires through her to penetrate a different mystery: he wants to learn love. It isn't a matter of will, she tells him. Still, he wants to learn to try . . .This beautifully wrought erotic novel is an extended haiku on the meaning of love, ""perhaps a sudden lapse in the logic of the universe,"" and of its absence, ""the malady of death."" ""The whole tragedy of the inability to love is in this work, thanks to Duras' unparalleled art of reinventing the most familiar words, of weighing their meaning."" - Le Monde; ""Deceptively simple and Racinian in its purity, condensed to the essential."" - Translation Review.",1988,3.86,60,11.70
90,The Blind Owl,Sadegh Hedayat;Ṣādiq Hidāyat,literature fiction psychological,despair madness lost-love isolation psychological-turmoil,http://books.google.com/books/content?id=CuHwwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A young man drifts into despair and madness after losing a mysterious lover.,1989,3.98,148,11.70
91,Practicalities,Marguerite Duras,non-fiction biography/autobiography,autobiography motherhood alcohol relationships life-reflections,http://books.google.com/books/content?id=xWgc9M7DCp8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""It's the women who upset the applecart. Between themselves they talk only about the practicalities of life"", declares Duras in this collection of her transcribed conversations with friend Jerome Beaujour. Some of her free-ranging meditations are short and deceptively simple, while many are autobiographical and reveal her most intimate thoughts about motherhood, her struggle with alcohol, her love for a young man, and more.",1993,3.99,143,11.70
92,Nova Express,William S. Burroughs,science-fiction dystopian,dystopian control addiction language power-structures,http://books.google.com/books/content?id=yRxBxwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Nova Express takes William S. Burroughs's nightmarish future one step beyond The Soft Machine. The diabolical Nova criminals have gained control and plan on wreaking untold destruction. It's up to Inspector Lee of the Nova Police to attack and dismantle the word-and-imagery machine of these control addicts” before it's too late.,1992,3.68,192,11.70
93,Edie,Jean Stein,biography/autobiography non-fiction,Edie-Sedgwick Warhol superstars fame 1960s counterculture,http://books.google.com/books/content?id=nSk4pPeDsukC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Chronicles the short life of Edie Sedgwick and her rise to become one of the Warhol superstars, as viewed by her family and such personalities as Capote, Vidal, and Warhol.",1994,4.13,564,11.70
94,The Passion,Jeanette Winterson,romance historical fiction,passion love loss Napoleon Moscow relationships,http://books.google.com/books/content?id=Dl6gOz07zmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Passion consumes Henri, a chef with Napoleon's army, and Villanelle, who has lost her heart to a married noblewoman, until the two meet at the gates of Moscow and form a bond based on bitter loss",1987,4.11,176,11.70
95,Sexing the Cherry,Jeanette Winterson,fantasy historical fiction,adventure history dreams Thames Charles-II,http://books.google.com/books/content?id=P4hcA18236YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Interweaving elements of fantasy and history, this novel chronicles the adventures of Jordan, who lives with his mother by the Thames during the reign of Charles II, as he follows his dreams to the end of the world, and beyond",1989,3.83,167,11.70
96,This boy's life,Tobias Wolff,biography/autobiography non-fiction,childhood divorce growing-up family relationships,http://books.google.com/books/content?id=JCl2p6rnB9IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The author chronicles the tumultuous events of his early life, discussing his parents' divorce, the nomadic wanderings with his mother that followed, and the strange and eventful process of growing up.",1999,3.98,304,11.70
97,The Six Wives of Henry VIII,Alison Weir,historical non-fiction,Henry-VIII marriage monarchy Tudor-era England,http://books.google.com/books/content?id=9zYYi1v8tnIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Profiles the oft-married English monarch and the women that came to define him through marriage, detailing their little-known histories and personalities. Reprint.",2000,4.11,643,11.70
98,Last Words,William S. Burroughs,non-fiction biography/autobiography,drug-policy counterculture death society reflections,http://books.google.com/books/content?id=gRxjTBcjRm8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Documenting the final months of this literary and countercultural icon, these extremely personal reflections confront U.S. drug policy, the state of the human race, and a host of political and social ills, while meditating on his own approaching death. Reprint.",2001,3.98,273,11.70
99,Four Blondes,Candace Bushnell,romance fiction,romantic-intrigues betrayal love relationships wealth,http://books.google.com/books/content?id=9GbH3006EvQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Four very different women endure romantic intrigues, betrayals, liaisons, and victories as they seek love amid the playgrounds of the rich and powerful.",2001,2.82,256,11.70
